,date,close,volume,keyword
147,2020-03-26,36400,475486,하나투어
148,2020-03-25,32100,267156,하나투어
149,2020-03-24,29600,214822,하나투어
150,2020-03-23,28200,154014,하나투어
151,2020-03-20,29200,184452,하나투어
152,2020-03-19,27800,387074,하나투어
153,2020-03-18,36350,140579,하나투어
154,2020-03-17,38850,197623,하나투어
155,2020-03-16,39100,191436,하나투어
156,2020-03-13,41350,337899,하나투어
157,2020-03-12,44200,217981,하나투어
158,2020-03-11,43700,109633,하나투어
159,2020-03-10,45000,168114,하나투어
160,2020-03-09,43700,168665,하나투어
161,2020-03-06,45750,126104,하나투어
162,2020-03-05,46750,226383,하나투어
163,2020-03-04,45050,121131,하나투어
164,2020-03-03,43250,149968,하나투어
165,2020-03-02,42100,188745,하나투어
166,2020-02-28,42300,245778,하나투어
167,2020-02-27,44350,175031,하나투어
168,2020-02-26,45100,138270,하나투어
169,2020-02-25,44850,172257,하나투어
170,2020-02-24,44100,255075,하나투어
171,2020-02-21,45300,211818,하나투어
172,2020-02-20,47000,253783,하나투어
173,2020-02-19,48700,221395,하나투어
174,2020-02-18,50300,94706,하나투어
175,2020-02-17,51100,92162,하나투어
176,2020-02-14,50500,69139,하나투어
177,2020-02-13,51400,212973,하나투어
178,2020-02-12,50000,133903,하나투어
179,2020-02-11,48950,119859,하나투어
180,2020-02-10,48600,78913,하나투어
181,2020-02-07,49000,90313,하나투어
182,2020-02-06,49100,102768,하나투어
183,2020-02-05,48050,99742,하나투어
184,2020-02-04,48150,198678,하나투어
185,2020-02-03,45800,208007,하나투어
186,2020-01-31,44900,148571,하나투어
187,2020-01-30,44950,180252,하나투어
188,2020-01-29,46150,290152,하나투어
189,2020-01-28,44100,672707,하나투어
190,2020-01-23,49100,302391,하나투어
191,2020-01-22,51200,209117,하나투어
192,2020-01-21,52000,186550,하나투어
193,2020-01-20,53300,294115,하나투어
194,2020-01-17,56400,49853,하나투어
195,2020-01-16,56200,73960,하나투어
196,2020-01-15,56500,118913,하나투어
197,2020-01-14,56900,183968,하나투어
198,2020-01-13,56900,238906,하나투어
199,2020-01-10,54200,262993,하나투어
200,2020-01-09,52000,63766,하나투어
201,2020-01-08,50200,93493,하나투어
202,2020-01-07,51400,97147,하나투어
203,2020-01-06,50600,166099,하나투어
204,2020-01-03,52800,108635,하나투어
205,2020-01-02,52800,94327,하나투어
