,title,keyword
143,"""제주 제2공항 도민 여론 수렴은 지역 가중치 없어야""",대한공항
144,"인천국제공항공사, 국토교통 교육기관 온라인 발전협의회 및 교육훈련 경연대...",대한공항
145,"국민의힘 ""가덕신공항 결정되면 적극 돕겠다""",대한공항
146,제주 제2공항 도민의견 수렴 '여론조사' 가닥,대한공항
147,"'부산시장 선거' 눈 먼 국민의힘…""가덕도, 인천공항과 '투톱'으로""",대한공항
148,김현미의 이유 있는 가덕도 신공항 반대론,대한공항
149,"이낙연 “가덕신공항, 부울경 염원에 맞게 실현되도록 노력”",대한공항
150,김현미의 이유 있는 가덕도 신공항 반대론,대한공항
151,"이낙연 “가덕신공항, 부울경 염원에 맞게 실현되도록 노력”",대한공항
152,"인천공항서 대테러훈련… 정세균 총리 ""선제적 테러 차단 중요""",대한공항
153,與 ‘가덕신공항 연구용역’ 국토부 예산 반영,대한공항
154,"김포공항주차대행 'SK주차장', 주차비 할인 및 프로모션으로 요금 낮춰",대한공항
155,제주도 제2공항 건설 도민 의견 수렴 여론조사 제안,대한공항
156,“군공항과 함께 옮겨야” 광주 민간공항 이전 반대여론에 제동 [fn 패트롤],대한공항
157,소음 문제 없는 ‘가덕신공항’ 정당성 더 커졌다,대한공항
158,인천공항 새 사장 누구…전문경영인? 또 낙하산?,대한공항
159,"이낙연 ""동남권 신공항, 희망고문 끝낼 것""…김경수 ""지속적 관심을""",대한공항
160,제주 제2공항 도민의견 수렴 ‘초읽기’,대한공항
161,정 총리 “이달 중 김해신공항 입장 정리”,대한공항
162,“이낙연 대표의 ‘가덕신공항 의지’ 반영된 것” 해석,대한공항
163,"인천시의회, GTX-D 및 공항철도~서울지하철 9호선 직결사업 등 광역교통망 현...",대한공항
164,"동남권 신공항 두고 당정 또 갈등…김태년 “X자식들, 국토부 2차관 들어오라...",대한공항
165,"취약지 부산 찾은 이낙연, '가덕신공항' 선물보따리 풀었다",대한공항
166,"""여야도 합의했는데""…당정, 가덕도 신공항 놓고 충돌",대한공항
167,"대구·부산 찾은 이낙연 “가덕도신공항, ‘희망고문’ 끝낸다”",대한공항
168,“2공항 여론조사 성산만”…“가중치 없이 공정하게”,대한공항
169,"국회 국방위, 군 공항 이전에 관한 특별법 개정안 상정…'김진표안' 논의 착수",대한공항
170,제주도 제2공항 의견수렴 방식 여론조사 제안,대한공항
171,“2공항 여론조사 성산만”…“가중치 없이 공정하게”,대한공항
172,"국회 국방위, 군 공항 이전에 관한 특별법 개정안 상정…'김진표안' 논의 착수",대한공항
173,"""제2공항 여론조사, '현 공항 vs 제2공항' 선택 질문이 타당""",대한공항
174,[여론조사] 제주 제2공항 도민 의견 수렴 방안은?,대한공항
175,"인천공항서 대테러훈련…정총리 ""선제적 테러 차단 중요""",대한공항
