,date,close,volume,stock
77,2020-08-21,55900,21142288,삼성전자
78,2020-08-20,55400,30386029,삼성전자
79,2020-08-19,57800,16930719,삼성전자
80,2020-08-18,58400,25307825,삼성전자
84,2020-08-14,58000,15672548,삼성전자
85,2020-08-13,58700,22089460,삼성전자
86,2020-08-12,59000,18573934,삼성전자
87,2020-08-11,58200,24907912,삼성전자
88,2020-08-10,57800,17774291,삼성전자
91,2020-08-07,57500,18751717,삼성전자
92,2020-08-06,58000,21625874,삼성전자
93,2020-08-05,56900,17739706,삼성전자
94,2020-08-04,57300,19419694,삼성전자
95,2020-08-03,56800,21158940,삼성전자
99,2020-07-31,57900,21943345,삼성전자
100,2020-07-30,59000,19285354,삼성전자
101,2020-07-29,59000,36476611,삼성전자
102,2020-07-28,58600,48431566,삼성전자
103,2020-07-27,55600,21054421,삼성전자
106,2020-07-24,54200,10994535,삼성전자
107,2020-07-23,54100,16214932,삼성전자
108,2020-07-22,54700,12885057,삼성전자
109,2020-07-21,55300,18297260,삼성전자
110,2020-07-20,54200,10507530,삼성전자
114,2020-07-17,54400,10096174,삼성전자
115,2020-07-16,53800,16779127,삼성전자
116,2020-07-15,54700,24051450,삼성전자
117,2020-07-14,53800,14269484,삼성전자
118,2020-07-13,53400,12240188,삼성전자
121,2020-07-10,52700,13714746,삼성전자
122,2020-07-09,52800,17054850,삼성전자
123,2020-07-08,53000,19664652,삼성전자
124,2020-07-07,53400,30760032,삼성전자
125,2020-07-06,55000,19856623,삼성전자
129,2020-07-03,53600,11887868,삼성전자
130,2020-07-02,52900,14142583,삼성전자
131,2020-07-01,52600,16706143,삼성전자
132,2020-06-30,52800,21157172,삼성전자
133,2020-06-29,52400,17776925,삼성전자
136,2020-06-26,53300,21575360,삼성전자
137,2020-06-25,51900,18541624,삼성전자
138,2020-06-24,52900,24519552,삼성전자
139,2020-06-23,51400,18086152,삼성전자
140,2020-06-22,52000,13801350,삼성전자
144,2020-06-19,52900,18157985,삼성전자
145,2020-06-18,52300,15982926,삼성전자
146,2020-06-17,52200,26672595,삼성전자
147,2020-06-16,52100,21808375,삼성전자
148,2020-06-15,49900,28772921,삼성전자
151,2020-06-12,52300,26976019,삼성전자
152,2020-06-11,54300,33815123,삼성전자
153,2020-06-10,55400,16742493,삼성전자
154,2020-06-09,55500,23998831,삼성전자
155,2020-06-08,54900,25634965,삼성전자
159,2020-06-05,55500,22743629,삼성전자
160,2020-06-04,54600,40220334,삼성전자
161,2020-06-03,54500,49257814,삼성전자
162,2020-06-02,51400,14247933,삼성전자
163,2020-06-01,51200,16949183,삼성전자
166,2020-05-29,50700,27596961,삼성전자
167,2020-05-28,50400,31309318,삼성전자
168,2020-05-27,49900,19548479,삼성전자
169,2020-05-26,49250,15127490,삼성전자
170,2020-05-25,48850,14337913,삼성전자
174,2020-05-22,48750,19706284,삼성전자
175,2020-05-21,49950,14949266,삼성전자
176,2020-05-20,50000,14896899,삼성전자
177,2020-05-19,50300,25168295,삼성전자
178,2020-05-18,48800,20481981,삼성전자
181,2020-05-15,47850,18463118,삼성전자
182,2020-05-14,48000,19305974,삼성전자
183,2020-05-13,48550,20223277,삼성전자
184,2020-05-12,47900,23433590,삼성전자
185,2020-05-11,48400,16357743,삼성전자
189,2020-05-08,48800,15319700,삼성전자
190,2020-05-07,48800,13884411,삼성전자
191,2020-05-06,49200,18070225,삼성전자
192,2020-05-04,48500,26083749,삼성전자
193,2020-04-29,50000,15604533,삼성전자
196,2020-04-28,50100,16095399,삼성전자
197,2020-04-27,49850,14049471,삼성전자
198,2020-04-24,49350,15618347,삼성전자
199,2020-04-23,49850,18754442,삼성전자
200,2020-04-22,49850,18613864,삼성전자
204,2020-04-21,49250,27407543,삼성전자
205,2020-04-20,50100,21866354,삼성전자
206,2020-04-17,51400,32041675,삼성전자
207,2020-04-16,49000,23349760,삼성전자
208,2020-04-14,49000,14206216,삼성전자
211,2020-04-13,48300,14431800,삼성전자
212,2020-04-10,49250,17839111,삼성전자
213,2020-04-09,49100,22628058,삼성전자
214,2020-04-08,48600,25010314,삼성전자
215,2020-04-07,49600,31524034,삼성전자
219,2020-04-06,48700,23395726,삼성전자
220,2020-04-03,47000,22784682,삼성전자
221,2020-04-02,46800,21621076,삼성전자
222,2020-04-01,45800,27259532,삼성전자
223,2020-03-31,47750,30654261,삼성전자
